,RMSE_test,RMSE_train,train_ARI,loglike,test_ARI,RMSE_test_std,RMSE_train_std,train_ARI_std,loglike_std,test_ARI_std,method,missing_rate
0,0.0,0.0,0.3768025694723964,0.0038345473092659572,0.38625386553791247,0.0,0.0,0.0,0.0,0.0,Gibbs,0.0
1,0.0,0.0,0.3826765016607256,-181.74866785584305,0.3952594630434582,0.0,0.0,0.016099840201279195,2.5272719052370203,0.017368616825930914,VBEM,0.0
2,0.0,0.0,0.37728576791105894,-177.99503055704653,0.36705048119469846,0.0,0.0,0.017966714919667514,0.5239297150871459,0.019876222486664197,EM,0.0
3,0.0,0.0,0.3825438548980428,-178.23722899751584,0.37382589814391726,0.0,0.0,0.024357443908190248,0.46491388752064877,0.01749464687477881,EM+mean,0.0
4,0.0,0.0,0.4019031625317411,0.004026325469240163,0.4021776680955766,0.0,0.0,0.0,0.0,0.0,Gibbs+mean,0.0
5,0.0,0.0,0.38545042425486364,-181.57891215924394,0.3912620337058452,0.0,0.0,0.018928633866615543,2.8588115848050415,0.021337760256677666,VBEM+mean,0.0
6,0.0,0.0,0.3735840887466054,-178.1695600575296,0.358643285574441,0.0,0.0,0.023306009291060786,0.6322215358020842,0.030629800216478566,EM+median,0.0
7,0.0,0.0,0.4015038901528353,0.004045291804297922,0.39251405155214725,0.0,0.0,0.0,0.0,0.0,Gibbs+median,0.0
8,0.0,0.0,0.38161632326128314,-182.06541130972576,0.39539301353659073,0.0,0.0,0.020125301886219926,2.614230993935451,0.019032151909982923,VBEM+median,0.0
9,0.0,0.0,0.37462384291026046,-178.29088932871596,0.3624556296549072,0.0,0.0,0.030023970638884637,0.598272129109405,0.03251849794178332,EM+mode,0.0
10,0.0,0.0,0.3562369744808007,0.004087153860964714,0.35715443986328443,0.0,0.0,0.0,0.0,0.0,Gibbs+mode,0.0
11,0.0,0.0,0.3825000973499261,-181.20636052324375,0.3882622901414833,0.0,0.0,0.02821055209303824,2.5229873503675364,0.01851445382986298,VBEM+mode,0.0
12,0.45322429205339665,0.4493152966720478,0.3534976088424227,-161.14653981347578,0.3612153416909171,0.0,0.0,0.0,0.0,0.0,Gibbs,0.1
13,0.2780381149947786,0.27275919446422203,0.3834316061696271,-163.58836536416874,0.38592702159174797,0.001788060283441063,0.001734626314826133,0.020034867950986513,1.865314551475143,0.014914160680641346,VBEM,0.1
14,0.2768254811953911,0.271422174268029,0.390113060727594,-160.75183716581563,0.39633271049432006,0.0009242860410271673,0.00030016081208604267,0.029509567859042504,0.41366296200272595,0.02689043112810727,EM,0.1
15,0.2763604703904126,0.3163555467315495,0.38433498536738153,-191.42051903341212,0.38820576977729015,0.0007768877955561113,0.0,0.023061711272618107,0.5187907353722289,0.018469971082275233,EM+mean,0.1
16,0.4524465396180142,0.3163555467315495,0.3613985214477455,0.006139919883984428,0.3892857376524327,0.0,0.0,0.0,0.0,0.0,Gibbs+mean,0.1
17,0.28046476163021883,0.3163555467315495,0.3785587365065043,-195.9658034581784,0.39278390028911986,0.0023995044922407185,0.0,0.02025463156083983,2.395943630803188,0.012429260329608427,VBEM+mean,0.1
18,0.2792889298650457,0.3949429781955559,0.3706389923609125,-178.47960382795992,0.35155930646966416,0.0006059783977455304,0.0,0.03081095130866107,0.5910862587479802,0.02994218063718863,EM+median,0.1
19,0.4488229870643593,0.3949429781955559,0.36745564577250384,0.005186482196469604,0.3725213513382177,0.0,0.0,0.0,0.0,0.0,Gibbs+median,0.1
20,0.27928360704851973,0.3949429781955559,0.3711705588436486,-180.6015454455416,0.37971310525525653,0.0016920804310192282,0.0,0.01992072681397182,1.7370816722527758,0.022861758225386535,VBEM+median,0.1
21,0.27940788985373266,0.3949429781955559,0.3792570871301881,-178.4844647021278,0.37051472553068027,0.0008904691202363633,0.0,0.02005159276586037,0.45472864362422666,0.01667499054052101,EM+mode,0.1
22,0.45046074673865594,0.3949429781955559,0.382380799403567,0.005859782163908779,0.40362291102380166,0.0,0.0,0.0,0.0,0.0,Gibbs+mode,0.1
23,0.2802081461439671,0.3949429781955559,0.37663989784457086,-181.76811023580237,0.3897461090680414,0.00312393357316156,0.0,0.023813370287961814,2.9749939943076664,0.021866001925734402,VBEM+mode,0.1
24,0.4529901053810919,0.44990942617728846,0.42086367735643704,-144.42521407755387,0.41024171543204174,0.0,0.0,0.0,0.0,0.0,Gibbs,0.2
25,0.2780106367259937,0.2728756822162485,0.37543944410576324,-145.6472842637993,0.3815883038315821,0.0014476785301127475,0.0010943632498704547,0.02068533716609331,1.005689797288795,0.018850820599248103,VBEM,0.2
26,0.27643296862177397,0.27093060144899406,0.38090908542242036,-142.47774812477073,0.3733122413398364,0.0007371967125707297,0.00035917490600504207,0.019687117887116436,0.44612721308733094,0.02578092575800371,EM,0.2
27,0.2776473594582898,0.31632287056430836,0.3851375518581194,-201.8642336675197,0.39265713749815107,0.000491971212688827,5.551115123125783e-17,0.029445335079472876,0.24033003310180345,0.03245876089542386,EM+mean,0.2
28,0.4532915030320366,0.3163228705643084,0.38247007324675025,0.009842802683314184,0.3875271411942235,0.0,0.0,0.0,0.0,0.0,Gibbs+mean,0.2
29,0.2806634756114349,0.31632287056430836,0.3650919477617184,-205.3429290505559,0.38098748914704694,0.0030573968478876117,5.551115123125783e-17,0.021688528258219073,2.0996906512869518,0.02495853428682244,VBEM+mean,0.2
30,0.28393376255705677,0.39513510467432844,0.36969656979542326,-174.85070597389554,0.36295335021828096,0.0006687223063090094,5.551115123125783e-17,0.029080727818473606,0.4009916262505525,0.03665589450283518,EM+median,0.2
31,0.4434735916223654,0.3951351046743284,0.34912782554686994,0.006134346958053085,0.3618281288181861,0.0,0.0,0.0,0.0,0.0,Gibbs+median,0.2
32,0.2853668429514786,0.39513510467432844,0.3828071189219614,-177.9443314543935,0.404127197088154,0.0021882994455631292,5.551115123125783e-17,0.011830602893014566,1.6937731746181177,0.01761653168841596,VBEM+median,0.2
33,0.2838874122053042,0.39513510467432844,0.37916502539064967,-174.82849028839317,0.3861070731248974,0.000667498858700335,5.551115123125783e-17,0.021362432933097752,0.26055129399915167,0.023832031425615782,EM+mode,0.2
34,0.4431010089675785,0.3951351046743284,0.3900277438591065,0.005963199570566437,0.4090598134074307,0.0,0.0,0.0,0.0,0.0,Gibbs+mode,0.2
35,0.28546200884011447,0.39513510467432844,0.3572961201798626,-178.17736097720405,0.3736402516336405,0.002554387924175446,5.551115123125783e-17,0.023204687709170592,2.2310583697860342,0.028094253512226997,VBEM+mode,0.2
36,0.45430596118105543,0.44920560796977393,0.3715318945620093,-125.802634793531,0.36111185951748437,0.0,0.0,0.0,0.0,0.0,Gibbs,0.3
37,0.27974227888989145,0.2747283211537189,0.3815044690798378,-128.67599994672145,0.3871649984936237,0.0022735491239344345,0.0023941451091999515,0.01583959253109103,1.8999477076225662,0.01661908932060642,VBEM,0.3
38,0.27613315313071674,0.2713925898968665,0.37810659873695285,-124.83286696227901,0.3723232178174384,0.0006450788270807274,0.00047076485655057584,0.018709692676690943,0.3041134581665638,0.016154261894617265,EM,0.3
39,0.2804799766924957,0.3164339544940012,0.3843070479449434,-210.8161243218761,0.3888070769303523,0.0005542093020217718,0.0,0.0235762840679437,0.1388438805950634,0.0334241897691477,EM+mean,0.3
40,0.45341355650604465,0.3164339544940012,0.3649344538500815,0.013886648305418504,0.3444162980522341,0.0,0.0,0.0,0.0,0.0,Gibbs+mean,0.3
41,0.2860242763121789,0.3164339544940012,0.34637960336415696,-215.28571524580292,0.38694550986321674,0.0021358106997999404,0.0,0.015382113850822358,1.1369077005787174,0.0089380207083557,VBEM+mean,0.3
42,0.291884015365741,0.3947366249143153,0.3641444951947582,-168.56473209098925,0.35941327511339577,0.0006159729894294971,0.0,0.035885548025206326,0.285868905622038,0.04302296505285827,EM+median,0.3
43,0.44023434021767954,0.3947366249143153,0.35093847217804935,0.008956910851713315,0.34196124673233597,0.0,0.0,0.0,0.0,0.0,Gibbs+median,0.3
44,0.2952486571156161,0.3947366249143153,0.3651624969020023,-172.98746111512347,0.3887942848855362,0.004110562775126663,0.0,0.02266813178447113,2.870863909651779,0.0340413651000076,VBEM+median,0.3
45,0.29177889534921814,0.3951153492589134,0.3687397824141699,-168.16081525451904,0.34953481713118306,0.0008509062886144015,0.0,0.02700930727255093,0.32562250641191365,0.034496391585426875,EM+mode,0.3
46,0.44036437689350055,0.3951153492589134,0.349985507456224,0.009237118134143171,0.33481124105031373,0.0,0.0,0.0,0.0,0.0,Gibbs+mode,0.3
47,0.29447242178257976,0.3951153492589134,0.3563384781744697,-172.6296811740258,0.39073330304100695,0.003024707788553581,0.0,0.03546187677377656,2.0593723078735664,0.032587649165427474,VBEM+mode,0.3
48,0.4527142214742958,0.4504304020426906,0.4079518429030306,-108.68392982016057,0.39553350222919254,0.0,0.0,0.0,0.0,0.0,Gibbs,0.4
49,0.2787547992554955,0.2737731384704112,0.3880798099410233,-109.11121974807561,0.3927205082722528,0.0019907340568406213,0.0015584749912438238,0.01894552907685435,1.0625435755212287,0.021203281318489253,VBEM,0.4
50,0.2774335088756452,0.2724222684851599,0.3948480760155765,-107.08855405599616,0.3923758114823221,0.001024228876592979,0.00048376355014408834,0.030677548454930408,0.3292889346193999,0.030122372451659506,EM,0.4
51,0.2841930047284487,0.3166293485622194,0.36164656406197315,-217.98167722264242,0.3748151485631455,0.00047840125117629595,0.0,0.02829290879779281,0.17546285776536394,0.02836657208462375,EM+mean,0.4
52,0.4534258871618859,0.3166293485622194,0.31559157323106785,0.021892688200648318,0.3187634944871292,0.0,0.0,0.0,0.0,0.0,Gibbs+mean,0.4
53,0.2897928141040705,0.3166293485622194,0.34214150463248877,-221.48783721489036,0.3751292169966136,0.0029697544342247952,0.0,0.00942666561999686,1.1647170697238343,0.009893584340137625,VBEM+mean,0.4
54,0.30311193894220506,0.39569334726644145,0.36899502189676425,-158.35041179318608,0.3581320909016571,0.0007287387702060225,0.0,0.022223915737419837,0.2371487709406181,0.026426286956293333,EM+median,0.4
55,0.436592497041214,0.39569334726644145,0.3562800064922429,0.009970814881941679,0.35605502770897224,0.0,0.0,0.0,0.0,0.0,Gibbs+median,0.4
56,0.3062688175466466,0.39569334726644145,0.34781239318607754,-162.88042285061786,0.3727351082002299,0.003000329939700857,0.0,0.03578078586159822,2.0716038871404754,0.035750791954352094,VBEM+median,0.4
57,0.3029197717685431,0.39569334726644145,0.34957138318831305,-158.3166783626511,0.3448820952751127,0.0005443737930126662,0.0,0.020203831478496463,0.18895102252774518,0.019093362467619772,EM+mode,0.4
58,0.4354319824710055,0.39569334726644145,0.36500269899045096,0.011325331948521327,0.37286305637371464,0.0,0.0,0.0,0.0,0.0,Gibbs+mode,0.4
59,0.3053665508761766,0.39569334726644145,0.34068618823349806,-162.24625214794014,0.3692246289370481,0.002429852739251955,0.0,0.027451548221108808,1.5193398660590873,0.021903699663558082,VBEM+mode,0.4
60,0.454051859813064,0.45097802122452424,0.36827138869302045,-90.55376526294121,0.3655199184664812,0.0,0.0,0.0,0.0,0.0,Gibbs,0.5
61,0.27758214490319943,0.2735899591053073,0.37408556891902356,-91.40558555166977,0.37889462481205316,0.0021578723926903454,0.0021029049655713647,0.02631438702154757,1.1838276372938108,0.024652768308676156,VBEM,0.5
62,0.2761901531793132,0.27196996519384786,0.36374652941749297,-89.54396843636732,0.3683402231597957,0.0008682539259070712,0.0005985899529922893,0.03000135678517374,0.2960488632927565,0.026705182460457774,EM,0.5
63,0.2880200892939773,0.31646425967191333,0.37641851675600874,-224.2053354706004,0.39522662386711227,0.0006049984323588621,5.551115123125783e-17,0.025417161989165122,0.08349673666146705,0.032988112895216214,EM+mean,0.5
64,0.45236482402926614,0.3164642596719134,0.37359927114215447,0.03352051037114918,0.38261491818195237,0.0,0.0,0.0,0.0,0.0,Gibbs+mean,0.5
65,0.2963306367181345,0.31646425967191333,0.30441681457920755,-227.87447435863095,0.341934952031948,0.0039854839838305445,5.551115123125783e-17,0.052915249168707885,1.198145114002511,0.05596895704291456,VBEM+mean,0.5
66,0.3145540272269817,0.3950703030784566,0.3630693108549118,-145.78954152039302,0.3271725536790305,0.0005164352080904406,0.0,0.027713103271607288,0.24096552260106105,0.04750566501136065,EM+median,0.5
67,0.4298104444026217,0.3950703030784566,0.34529544189282063,0.014600273437767718,0.34185535120575655,0.0,0.0,0.0,0.0,0.0,Gibbs+median,0.5
68,0.3174814735344022,0.3950703030784566,0.3405788643137376,-149.68632385574364,0.3497006446336119,0.002738378037539759,0.0,0.02093010309344773,1.5534757748058188,0.02311966459245192,VBEM+median,0.5
69,0.3140731446421139,0.3950703030784566,0.3579767468044926,-145.60834219171434,0.33618043161066613,0.0003890972513976262,0.0,0.03148250069475689,0.14839476843780952,0.024798376062446514,EM+mode,0.5
70,0.43148212678484626,0.3950703030784566,0.34211006627461144,0.014847250048934375,0.32470684955589696,0.0,0.0,0.0,0.0,0.0,Gibbs+mode,0.5
71,0.3191004999460022,0.3950703030784566,0.33037232674674966,-150.59651006435817,0.34516486020539566,0.00356119907785896,0.0,0.034860097250285146,1.932677577791207,0.03933801754762156,VBEM+mode,0.5
